species,eoo_aus,aoo_aus
Abelmoschus ficulneus,3716231.179,672
Abelmoschus manihot,930646.1525,48
Abelmoschus manihot subsp. tetraphyllus,74075.78198,36
Abelmoschus moschatus,1215409.077,424
Abelmoschus moschatus subsp. biakensis,NA,4
Abelmoschus moschatus subsp. tuberosus,1910457.912,524
Abildgaardia ovata,3236737.749,616
Abildgaardia vaginata,1986387.044,412
Abrodictyum brassii,229026.7038,304
Abrodictyum caudatum,1231013.432,356
Abrodictyum obscurum,1764947.792,596
Abroma molle,263699.7937,168
Abrophyllum ornans,870103.5357,676
Abrophyllum ornans var. ornans,521165.256,188
Abrotanella forsteroides,22704.808,148
Abrotanella nivigena,2288.833715,68
Abrotanella scapigera,12564.56889,172
Abrus precatorius,3607673.822,552
Abrus precatorius subsp. precatorius,3504311.244,872
Abutilon amplum,495926.091,116
Abutilon auritum,1973712.639,492
Abutilon calliphyllum,894566.7166,200
Abutilon cryptopetalum,4011605.438,948
Abutilon cunninghamii,2472793.1,224
Abutilon fraseri,5036990.496,880
Abutilon fraseri subsp. diplotrichum,611546.7862,200
Abutilon fraseri subsp. fraseri,4319382.364,1232
Abutilon fugax,NA,4
Abutilon geranioides,74339.34102,76
Abutilon halophilum,1146764.869,1036
Abutilon hannii,3257039.927,1536
Abutilon hannii subsp. prostrate (P.K.Latz 427),879231.793,80
Abutilon indicum,3197726.796,100
Abutilon indicum subsp. albescens,964274.2652,304
Abutilon indicum var. australiense,4230093.253,528
Abutilon lepidum,1768947.755,720
Abutilon leucopetalum,4585375.501,2536
Abutilon macrum,3661787.75,804
Abutilon malvifolium,4585535.089,956
Abutilon micropetalum,821221.58,332
Abutilon nobile,198098.2328,96
Abutilon otocarpum,5967879.489,3148
Abutilon oxycarpum,6526355.361,804
Abutilon oxycarpum var. incanum,390131.3809,152
Abutilon oxycarpum var. oxycarpum,2973937.182,532
Abutilon oxycarpum var. subsagittatum,1342194.07,236
Abutilon sp. Cape Range (A.S.George 1312),164.1370491,16
Abutilon sp. Cook District (A.MacDonald 10),NA,4
Abutilon sp. Dioicum (A.A.Mitchell PRP 1618),248677.3071,364
Abutilon sp. Hamelin (A.M.Ashby 2196),3983.122531,48
Abutilon sp. Mataranka (R.M.Barker 877),175523.4882,40
Abutilon sp. Pilbara (W.R.Barker 2025),102209.7298,132
Abutilon sp. Pritzelianum (S.van Leeuwen 5095),194908.2204,88
Abutilon sp. Quobba (H.Demarz 3858),12498.51502,24
Abutilon sp. Warburton (A.S.George 8164),NA,4
Abutilon subviscosum,1088908.851,64
Abutilon tubulosum,344248.8941,104
Abutilon tubulosum var. tubulosum,132297.2192,40
Acacia abbatiana,0.562347177,8
Acacia abbreviata,21917.24801,116
Acacia abrupta,683288.484,508
Acacia acanthaster,37322.3521,88
Acacia acanthoclada,1096855.329,88
Acacia acanthoclada subsp. acanthoclada,1812282.621,736
Acacia acanthoclada subsp. glaucescens,95610.62173,188
Acacia acellerata,5793.103231,44
Acacia acinacea,763950.282,2312
Acacia aciphylla,233262.0892,92
Acacia acoma,96825.42982,156
Acacia acradenia,3090961.919,1788
Acacia acrionastes,4615.470404,88
Acacia acuaria,208840.7862,624
Acacia aculeatissima,3190190.573,592
Acacia aculeiformis,3837.002835,80
Acacia acuminata,2128618.975,2656
Acacia acutata,75483.52555,196
Acacia adenogonia,53871.2869,120
Acacia adinophylla,213.2283923,20
Acacia adjutrices,519.0445212,24
Acacia adnata,6836.681494,32
Acacia adoxa,1185087.255,100
Acacia adoxa var. adoxa,1500062.001,1096
Acacia adoxa var. adoxa x Acacia spondylophylla,0.040063748,4
Acacia adoxa var. subglabra,733627.3151,228
Acacia adsurgens,2838554.492,1488
Acacia adsurgens x Acacia rhodophloia,NA,4
Acacia adunca,698527.9133,236
Acacia aemula,NA,8
Acacia aemula subsp. aemula,48561.46695,160
Acacia aemula subsp. muricata,19990.99152,60
Acacia aestivalis,91498.32006,300
Acacia alata,1077166.085,100
Acacia alata var. alata,1086265.588,520
Acacia alata var. biglandulosa,2793416,172
Acacia alata var. platyptera,17812.01237,64
