canonicalName,RS_value
Brunoniella australis,herbaceous
Dicladanthera forrestii,herbaceous
Dipteracanthus australasicus,herbaceous
Hygrophila angustifolia,herbaceous
Rostellularia adscendens,herbaceous
Carpobrotus modestus,herbaceous
Carpobrotus rossii,herbaceous
Carpobrotus virescens,herbaceous
Disphyma crassifolium,herbaceous
Gunniopsis calcarea,herbaceous
Gunniopsis quadrifida,herbaceous
Mesembryanthemum crystallinum,herbaceous
Mesembryanthemum nodiflorum,herbaceous
Sarcozona praecox,herbaceous
Sesuvium portulacastrum,herbaceous
Tetragonia diptera,herbaceous
Tetragonia eremaea,herbaceous
Tetragonia implexicoma,herbaceous
Tetragonia moorei,herbaceous
Trianthema pilosum,herbaceous
Trianthema rhynchocalyptrum,herbaceous
Trianthema triquetrum,herbaceous
Achyranthes aspera,herbaceous
Alternanthera angustifolia,herbaceous
Alternanthera denticulata,herbaceous
Alternanthera nana,herbaceous
Alternanthera nodiflora,herbaceous
Amaranthus mitchellii,herbaceous
Gomphrena affinis,herbaceous
Gomphrena breviflora,herbaceous
Gomphrena canescens,herbaceous
Gomphrena flaccida,herbaceous
Gomphrena kanisii,herbaceous
Gomphrena lanata,herbaceous
Gomphrena leptoclada,herbaceous
Gomphrena parviflora,herbaceous
Ptilotus aervoides,herbaceous
Ptilotus calostachyus,herbaceous
Ptilotus carinatus,herbaceous
Ptilotus clementii,herbaceous
Ptilotus corymbosus,herbaceous
Ptilotus divaricatus,semi_woody
Ptilotus drummondii,herbaceous
Ptilotus erubescens,herbaceous
Ptilotus fusiformis,herbaceous
Ptilotus gaudichaudii,herbaceous
Ptilotus gomphrenoides,herbaceous
Ptilotus helipteroides,herbaceous
Ptilotus holosericeus,herbaceous
Ptilotus lanatus,herbaceous
Ptilotus latifolius,herbaceous
Ptilotus macrocephalus,semi_woody
Ptilotus nobilis,herbaceous
Ptilotus obovatus,semi_woody
Ptilotus polystachyus,herbaceous
Ptilotus schwartzii,semi_woody
Ptilotus seminudus,herbaceous
Ptilotus sessilifolius,semi_woody
Ptilotus spicatus,herbaceous
Surreya diandra,woody
Calostemma luteum,herbaceous
Calostemma purpureum,herbaceous
Blepharocarya depauperata,woody
Buchanania obovata,woody
Anarthria prolifera,herbaceous
Anarthria scabra,herbaceous
Lyginia imberbis,herbaceous
Actinotus helianthi,herbaceous
Actinotus minor,herbaceous
Daucus glochidiatus,herbaceous
Oreomyrrhis ciliata,herbaceous
Oreomyrrhis eriopoda,herbaceous
Platysace ericoides,woody
Platysace filiformis,woody
Platysace heterophylla,woody
Platysace linearifolia,woody
Platysace trachymenioides,woody
Xanthosia pilosa,woody
Xanthosia tridentata,woody
Alstonia constricta,woody
Alyxia buxifolia,woody
Alyxia spicata,woody
Carissa spinarum,woody
Cryptostegia grandiflora,woody
Cynanchum carnosum,herbaceous
Cynanchum floribundum,semi_woody
Cynanchum viminale,semi_woody
Dischidia major,herbaceous
Gomphocarpus physocarpus,woody
Gymnanthera oblonga,woody
Marsdenia australis,woody
Marsdenia trinervis,semi_woody
Marsdenia viridiflora,herbaceous
Parsonsia eucalyptophylla,semi_woody
Rhyncharrhena linearis,semi_woody
Wrightia saligna,woody
Hydrocotyle algida,herbaceous
Hydrocotyle callicarpa,herbaceous
Hydrocotyle comocarpa,herbaceous
Hydrocotyle diantha,herbaceous
Hydrocotyle foveolata,herbaceous
Hydrocotyle laxiflora,herbaceous
Hydrocotyle rugulosa,herbaceous
Hydrocotyle sibthorpioides,herbaceous
Polyscias sambucifolia,woody
Trachymene cyanopetala,herbaceous
Trachymene glaucifolia,herbaceous
Trachymene humilis,herbaceous
Trachymene oleracea,herbaceous
Trachymene ornata,herbaceous
Trachymene pilosa,herbaceous
Trachymene rotundifolia,herbaceous
Livistona alfredii,woody
Livistona humilis,woody
Livistona inermis,woody
Aristolochia ornithopterae,herbaceous
Acanthocarpus preissii,herbaceous
Arthropodium curvipes,herbaceous
Arthropodium dyeri,herbaceous
Arthropodium fimbriatum,herbaceous
Arthropodium strictum,herbaceous
Asparagus asparagoides,semi_woody
Chamaescilla corymbosa,herbaceous
Chamaescilla spiralis,herbaceous
Chamaexeros fimbriata,herbaceous
Eustrephus latifolius,semi_woody
Laxmannia gracilis,herbaceous
Lomandra banksii,herbaceous
Lomandra caespitosa,herbaceous
Lomandra collina,herbaceous
Lomandra cylindrica,herbaceous
Lomandra densiflora,herbaceous
Lomandra effusa,herbaceous
Lomandra fibrata,herbaceous
Lomandra filiformis,herbaceous
Lomandra glauca,herbaceous
Lomandra leucocephala,herbaceous
Lomandra longifolia,herbaceous
Lomandra maritima,herbaceous
Lomandra micrantha,herbaceous
Lomandra multiflora,herbaceous
Lomandra nana,herbaceous
Lomandra obliqua,herbaceous
Lomandra sonderi,herbaceous
Lomandra sororia,herbaceous
Lomandra suaveolens,herbaceous
Lomandra tropica,herbaceous
Sowerbaea laxiflora,herbaceous
Thysanotus baueri,herbaceous
Thysanotus exfimbriatus,herbaceous
Thysanotus manglesianus,herbaceous
Thysanotus patersonii,herbaceous
Asphodelus fistulosus,herbaceous
Bulbine alata,herbaceous
Bulbine bulbosa,herbaceous
Astelia alpina,herbaceous
Actinobole condensatum,herbaceous
Actinobole oldfieldianum,herbaceous
Actinobole uliginosum,herbaceous
Anemocarpa podolepidium,woody
Angianthus conocephalus,herbaceous
Angianthus cunninghamii,semi_woody
Angianthus tomentosus,herbaceous
Apowollastonia longipes,herbaceous
Apowollastonia spilanthoides,herbaceous
Arctotheca calendula,herbaceous
Argyrotegium fordianum,herbaceous
Argyrotegium nitidulum,semi_woody
Bellida graminea,herbaceous
Bidens bipinnata,herbaceous
Bidens pilosa,herbaceous
Bidens subalternans,herbaceous
Blennospora drummondii,herbaceous
Blumea saxatilis,herbaceous
Blumea tenella,herbaceous
Brachyscome ciliaris,herbaceous
Brachyscome decipiens,herbaceous
Brachyscome dentata,herbaceous
Brachyscome dichromosomatica,herbaceous
Brachyscome iberidifolia,herbaceous
Brachyscome lineariloba,herbaceous
Brachyscome multifida,herbaceous
Brachyscome scapigera,herbaceous
Brachyscome spathulata,herbaceous
