original_name,cleaned_name,aligned_name,source,known,checked,stripped_name,mismatch_reason,could_match,APC_link
Bryophyte,Bryophyte,NA,NA,FALSE,TRUE,bryophyte,Bryophyte,NA,
Campylopus introflexus,Campylopus introflexus,NA,NA,FALSE,TRUE,campylopus introflexus,Bryophyte,NA,
Dicranoloma menziesii,Dicranoloma menziesii,NA,NA,FALSE,TRUE,dicranoloma menziesii,Bryophyte,NA,
Acacia (cf.) aneura,Acacia (cf.) aneura,NA,NA,FALSE,TRUE,acacia cf aneura,cf in name,Acacia,
Casuarina pauper x cristata intergrade,Casuarina pauper x cristata intergrade,NA,NA,FALSE,TRUE,casuarina pauper x cristata intergrade,Hybrid,Casuarina,
Eucalyptus blakelyi hybrid,Eucalyptus blakelyi hybrid,NA,NA,FALSE,TRUE,eucalyptus blakelyi hybrid,Hybrid,Eucalyptus,
Eucalyptus crebra x e. melanophloia,Eucalyptus crebra x e. melanophloia,NA,NA,FALSE,TRUE,eucalyptus crebra x e melanophloia,Hybrid,Eucalyptus,
Eucalyptus cyanophylla x eucalyptus dumosa intergrade,Eucalyptus cyanophylla x eucalyptus dumosa intergrade,NA,NA,FALSE,TRUE,eucalyptus cyanophylla x eucalyptus dumosa intergrade,Hybrid,Eucalyptus,
Eucalyptus dumosa integrade e. phenax,Eucalyptus dumosa integrade e. phenax,NA,NA,FALSE,TRUE,eucalyptus dumosa integrade e phenax,Hybrid,Eucalyptus,
Eucalyptus incrassata x angulosa intergrade,Eucalyptus incrassata x angulosa intergrade,NA,NA,FALSE,TRUE,eucalyptus incrassata x angulosa intergrade,Hybrid,Eucalyptus,
Eucalyptus largiflorens x e.gracilis,Eucalyptus largiflorens x e.gracilis,NA,NA,FALSE,TRUE,eucalyptus largiflorens x e gracilis,Hybrid,Eucalyptus,
Eucalyptus melanophloia x e. whitei intergrade,Eucalyptus melanophloia x e. whitei intergrade,NA,NA,FALSE,TRUE,eucalyptus melanophloia x e whitei intergrade,Hybrid,Eucalyptus,
Eucalyptus microcarpa   moluccana  (intergrade),Eucalyptus microcarpa moluccana (intergrade),NA,NA,FALSE,TRUE,eucalyptus microcarpa moluccana intergrade,Hybrid,Eucalyptus,
Eucalyptus sideroxylon/melliodora intergrade,Eucalyptus sideroxylon/melliodora intergrade,NA,NA,FALSE,TRUE,eucalyptus sideroxylon/melliodora intergrade,Hybrid,Eucalyptus,
Eucalyptus socialis intergrade eucalyptus gillii,Eucalyptus socialis intergrade eucalyptus gillii,NA,NA,FALSE,TRUE,eucalyptus socialis intergrade eucalyptus gillii,Hybrid,Eucalyptus,
Phebalium brachycalyx x phebalium drummondii (f.h.mollemans2573),Phebalium brachycalyx x phebalium drummondii (f.h.mollemans2573),NA,NA,FALSE,TRUE,phebalium brachycalyx x phebalium drummondii f h mollemans2573,Hybrid,Phebalium,
Triodia basedowii aff. t. lanigera,Triodia basedowii aff. t. lanigera,NA,NA,FALSE,TRUE,triodia basedowii t lanigera,Hybrid,Triodia,
Enchylaena tomentosa var. tomentosa x maireana georgei,Enchylaena tomentosa var. tomentosa x maireana georgei,NA,NA,FALSE,TRUE,enchylaena tomentosa tomentosa x maireana georgei,Hybrid,NA,
Enchylaena tomentosa var tomentosa x maireana sp.,Enchylaena tomentosa var. tomentosa x maireana sp.,NA,NA,FALSE,TRUE,enchylaena tomentosa tomentosa x maireana sp,Hybrid,NA,
Maireana georgei x enchylaena tomentosa,Maireana georgei x enchylaena tomentosa,NA,NA,FALSE,TRUE,maireana georgei x enchylaena tomentosa,Hybrid,NA,
Annual daisy,Annual daisy,NA,NA,FALSE,TRUE,annual daisy,Invalid name,NA,
Annual dicot seedlings,Annual dicot seedlings,NA,NA,FALSE,TRUE,annual dicot seedlings,Invalid name,NA,
Annual forb,Annual forb,NA,NA,FALSE,TRUE,annual forb,Invalid name,NA,
Annual tussock grass,Annual tussock grass,NA,NA,FALSE,TRUE,annual tussock grass,Invalid name,NA,
Dead tree/shrub,Dead tree/shrub,NA,NA,FALSE,TRUE,dead tree/shrub,Invalid name,NA,
Moss,Moss,NA,NA,FALSE,TRUE,moss,Invalid name,NA,
Nc,Nc,NA,NA,FALSE,TRUE,nc,Invalid name,NA,
No id,No id,NA,NA,FALSE,TRUE,no id,Invalid name,NA,
No id.,No id.,NA,NA,FALSE,TRUE,no id,Invalid name,NA,
Standing litter,Standing litter,NA,NA,FALSE,TRUE,standing litter,Invalid name,NA,
Thamnolia vermicularis,Thamnolia vermicularis,NA,NA,FALSE,TRUE,thamnolia vermicularis,Lichen,NA,
Xanthoparmelia semiviridis,Xanthoparmelia semiviridis,NA,NA,FALSE,TRUE,xanthoparmelia semiviridis,Lichen,NA,
Lilliaceae,Lilliaceae,NA,NA,FALSE,TRUE,lilliaceae,Misspelled,Liliaceae,
Cyperus simplex,Cyperus simplex,NA,NA,FALSE,TRUE,cyperus simplex,Not in APC/APNI,NA,
Euphorbia sp. simpson desert,Euphorbia sp. simpson desert,NA,NA,FALSE,TRUE,euphorbia sp simpson desert,Not in APC/APNI,NA,
Polymeria sp. (aurukun j.r.clarkson 4320),Polymeria sp. (aurukun j.r.clarkson 4320),NA,NA,FALSE,TRUE,polymeria sp aurukun j r clarkson 4320,Not in APC/APNI,NA,
Tephrosia sp. macarthur river,Tephrosia sp. macarthur river,NA,NA,FALSE,TRUE,tephrosia sp macarthur river,Not in APC/APNI,NA,
Craspedia aurantia s. lat.,Craspedia aurantia s. lat.,NA,NA,FALSE,TRUE,craspedia aurantia s lat,s lat in name,Craspedia aurantia,
Schoenus brevisetis s.lat.,Schoenus brevisetis s.lat.,NA,NA,FALSE,TRUE,schoenus brevisetis s lat,s lat in name,Schoenus brevisetis,
Acanthocarpus sp. cooloomia,Acanthocarpus sp. cooloomia,NA,NA,FALSE,TRUE,acanthocarpus sp cooloomia,Unsure,Acanthocarpus sp. Cooloomia (S.D.Hopper 3301),https://id.biodiversity.org.au/name/apni/203323Ê
Baeckea sp. murchison river,Baeckea sp. murchison river,NA,NA,FALSE,TRUE,baeckea sp murchison river,Unsure,Baeckea sp. Murchison River (M.E.Trudgen 12009),https://id.biodiversity.org.au/name/apni/191267Ê
Dichondra sp. a sensu harden 1992,Dichondra sp. a sensu harden 1992,NA,NA,FALSE,TRUE,dichondra sp a sensu harden 1992,Problem taxon,Dichondra,
Leucopogon sp. murchison,Leucopogon sp. murchison,NA,NA,FALSE,TRUE,leucopogon sp murchison,Unsure,Leucopogon sp. Murchison (R.J.Cranfield 9224),https://id.biodiversity.org.au/name/apni/239999Ê
Schoenus sp. murchison,Schoenus sp. murchison,NA,NA,FALSE,TRUE,schoenus sp murchison,Unsure,Schoenus sp. Murchison (K.L.Wilson 2647),https://id.biodiversity.org.au/name/apni/243799Ê
Senna sp. austin,Senna sp. austin,NA,NA,FALSE,TRUE,senna sp austin,Unsure,Senna sp. Austin (A.Strid 20210),https://id.biodiversity.org.au/name/apni/198508Ê
Abutilon sp.,Abutilon sp.,NA,NA,FALSE,TRUE,abutilon sp,Genus sp. ID,Abutilon,
Acacia sp.,Acacia sp.,NA,NA,FALSE,TRUE,acacia sp,Genus sp. ID,Acacia,
Acaena sp.,Acaena sp.,NA,NA,FALSE,TRUE,acaena sp,Genus sp. ID,Acaena,
Acianthus sp.,Acianthus sp.,NA,NA,FALSE,TRUE,acianthus sp,Genus sp. ID,Acianthus,
Acrothamnus sp.,Acrothamnus sp.,NA,NA,FALSE,TRUE,acrothamnus sp,Genus sp. ID,Acrothamnus,
Aira sp.,Aira sp.,NA,NA,FALSE,TRUE,aira sp,Genus sp. ID,Aira,
Alphitonia sp.,Alphitonia sp.,NA,NA,FALSE,TRUE,alphitonia sp,Genus sp. ID,Alphitonia,
Amyema sp.,Amyema sp.,NA,NA,FALSE,TRUE,amyema sp,Genus sp. ID,Amyema,
Anarthria sp.,Anarthria sp.,NA,NA,FALSE,TRUE,anarthria sp,Genus sp. ID,Anarthria,
Angophora sp.,Angophora sp.,NA,NA,FALSE,TRUE,angophora sp,Genus sp. ID,Angophora,
Anthotroche sp.,Anthotroche sp.,NA,NA,FALSE,TRUE,anthotroche sp,Genus sp. ID,Anthotroche,
Aristida sp.,Aristida sp.,NA,NA,FALSE,TRUE,aristida sp,Genus sp. ID,Aristida,
Arrhenechthites sp.,Arrhenechthites sp.,NA,NA,FALSE,TRUE,arrhenechthites sp,Genus sp. ID,Arrhenechthites,
Arthrochilus sp.,Arthrochilus sp.,NA,NA,FALSE,TRUE,arthrochilus sp,Genus sp. ID,Arthrochilus,
Arthropodium sp.,Arthropodium sp.,NA,NA,FALSE,TRUE,arthropodium sp,Genus sp. ID,Arthropodium,
Arthropodium sp,Arthropodium sp.,NA,NA,FALSE,TRUE,arthropodium sp,Genus sp. ID,Arthropodium,
Asteraceae sp.,Asteraceae sp.,NA,NA,FALSE,TRUE,asteraceae sp,Genus sp. ID,Asteraceae,
Astrebla sp.,Astrebla sp.,NA,NA,FALSE,TRUE,astrebla sp,Genus sp. ID,Astrebla,
Atriplex sp.,Atriplex sp.,NA,NA,FALSE,TRUE,atriplex sp,Genus sp. ID,Atriplex,
Austrostipa sp.,Austrostipa sp.,NA,NA,FALSE,TRUE,austrostipa sp,Genus sp. ID,Austrostipa,
Austrostipa sp,Austrostipa sp.,NA,NA,FALSE,TRUE,austrostipa sp,Genus sp. ID,Austrostipa,
Banksia sp.,Banksia sp.,NA,NA,FALSE,TRUE,banksia sp,Genus sp. ID,Banksia,
Bidens sp.,Bidens sp.,NA,NA,FALSE,TRUE,bidens sp,Genus sp. ID,Bidens,
Blumea sp.,Blumea sp.,NA,NA,FALSE,TRUE,blumea sp,Genus sp. ID,Blumea,
Boerhavia sp.,Boerhavia sp.,NA,NA,FALSE,TRUE,boerhavia sp,Genus sp. ID,Boerhavia,
Boraginaceae sp.,Boraginaceae sp.,NA,NA,FALSE,TRUE,boraginaceae sp,Genus sp. ID,Boraginaceae,
Bothriochloa sp.,Bothriochloa sp.,NA,NA,FALSE,TRUE,bothriochloa sp,Genus sp. ID,Bothriochloa,
Brachychiton sp.,Brachychiton sp.,NA,NA,FALSE,TRUE,brachychiton sp,Genus sp. ID,Brachychiton,
Brachyscome sp.,Brachyscome sp.,NA,NA,FALSE,TRUE,brachyscome sp,Genus sp. ID,Brachyscome,
Bracyscome sp.,Bracyscome sp.,NA,NA,FALSE,TRUE,bracyscome sp,Genus sp. ID,Brachyscome,
