family,occurrence,sum_weight,species_richness,family_group
Acanthaceae,15,0.1293745667710398,5,Other families
Aizoaceae,91,3.8072031452408104,17,Other families
Amaranthaceae,139,2.8972502457312292,39,Other families
Amaryllidaceae,4,0.028467214745150772,2,Other families
Anacardiaceae,15,0.27005692542700344,2,Other families
Anarthriaceae,5,0.044262074964871036,3,Other families
Apiaceae,60,0.45748609983008065,12,Other families
Apocynaceae,85,1.3930822103575629,18,Other families
Araliaceae,31,0.2658906783530762,16,Other families
Arecaceae,9,0.2595236313629753,3,Other families
Aristolochiaceae,2,0.0028034872097915573,1,Other families
Asparagaceae,159,2.7261894714609984,34,Other families
Asphodelaceae,11,0.07730142260409137,3,Other families
Asteliaceae,1,0.02944507361268403,1,Other families
Asteraceae,744,15.606700970412833,229,Asteraceae
Bataceae,1,0.005102040816326529,1,Other families
Bignoniaceae,13,0.06944696427235944,3,Other families
Bixaceae,7,0.05987069837984076,2,Other families
Boraginaceae,70,1.185820003948873,27,Other families
Boryaceae,7,0.24548508970198055,3,Other families
Brassicaceae,116,5.9703158236924745,24,Other families
Burmanniaceae,2,0.002217117988394584,1,Other families
Burseraceae,1,0.005489478499542543,1,Other families
Cactaceae,5,0.01860525387664815,1,Other families
Campanulaceae,23,0.1053189835181566,11,Other families
Cannabaceae,1,0.0011074197120708748,1,Other families
Capparaceae,30,0.21900121547698959,5,Other families
Caprifoliaceae,1,0.003631961259079903,1,Other families
Caryophyllaceae,32,0.2897581794446645,18,Other families
Casuarinaceae,83,14.903356558006,13,Other families
Celastraceae,39,0.32203415009100533,13,Other families
Centrolepidaceae,7,0.1083093625029031,4,Other families
Chenopodiaceae,1294,68.56493539178,124,Chenopodiaceae
Chrysobalanaceae,8,0.20832536917828245,1,Other families
Cleomaceae,19,0.29400451298891805,3,Other families
Colchicaceae,10,0.02569474418911532,5,Other families
Combretaceae,71,2.4360657569513,14,Other families
Commelinaceae,17,0.13093418289421266,5,Other families
Convolvulaceae,144,2.1425943861624233,35,Other families
Crassulaceae,14,0.3376396685389003,5,Other families
Cucurbitaceae,6,0.038329853849349976,2,Other families
Cunoniaceae,1,0.0037960954446854666,1,Other families
Cyperaceae,333,9.39616119382206,124,Cyperaceae
Dasypogonaceae,3,0.02362754971467052,1,Other families
Dilleniaceae,81,1.7936630637418398,36,Other families
Droseraceae,54,0.26770860693311505,19,Other families
