aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Abildgaardia ovata,APC,https://id.biodiversity.org.au/node/apni/2919627,accepted,NA,https://id.biodiversity.org.au/node/apni/2919627,Abildgaardia ovata,(Burm.f.) Kral,Species,accepted,Cyperaceae,Magnoliidae,"NT, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51215139
Abutilon,APC,https://id.biodiversity.org.au/taxon/apni/51288314,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51288314,Abutilon,Mill.,Genus,accepted,Malvaceae,Magnoliidae,"WA (native and naturalised), ChI, CSI, NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), NI (native and naturalised), Vic (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51229167
Abutilon cryptopetalum,APC,https://id.biodiversity.org.au/node/apni/2900809,accepted,NA,https://id.biodiversity.org.au/node/apni/2900809,Abutilon cryptopetalum,(F.Muell.) F.Muell. ex Benth.,Species,accepted,Malvaceae,Magnoliidae,"WA, NT, SA, NSW",https://id.biodiversity.org.au/tree/51354547/51229185
Abutilon fraseri,APC,https://id.biodiversity.org.au/taxon/apni/51288311,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51288311,Abutilon fraseri,(Hook.) Walp.,Species,accepted,Malvaceae,Magnoliidae,"WA, NT, SA, Qld, NSW,Vic",https://id.biodiversity.org.au/tree/51354547/51288310
Abutilon halophilum,APC,https://id.biodiversity.org.au/node/apni/3470889,accepted,taxonomic synonym,https://id.biodiversity.org.au/node/apni/3470889,Abutilon halophilum,F.Muell. ex Schltdl.,Species,accepted,Malvaceae,Magnoliidae,"WA, NT, SA, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51229168
Abutilon hannii,APC,https://id.biodiversity.org.au/node/apni/2887138,accepted,NA,https://id.biodiversity.org.au/node/apni/2887138,Abutilon hannii,Baker f.,Species,accepted,Malvaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51229191
Abutilon hannii subsp. prostrate (P.K.Latz 427),APC,https://id.biodiversity.org.au/node/apni/2890022,accepted,NA,https://id.biodiversity.org.au/node/apni/2890022,Abutilon hannii subsp. prostrate (P.K.Latz 427),R.M.Barker,Subspecies,accepted,Malvaceae,Magnoliidae,NT,https://id.biodiversity.org.au/tree/51354547/51229192
Abutilon leucopetalum,APC,https://id.biodiversity.org.au/node/apni/2911736,accepted,NA,https://id.biodiversity.org.au/node/apni/2911736,Abutilon leucopetalum,(F.Muell.) F.Muell. ex Benth.,Species,accepted,Malvaceae,Magnoliidae,"WA, NT, SA, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51229198
Abutilon otocarpum,APC,https://id.biodiversity.org.au/node/apni/2892894,accepted,NA,https://id.biodiversity.org.au/node/apni/2892894,Abutilon otocarpum,F.Muell.,Species,accepted,Malvaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51229202
Abutilon oxycarpum,APC,https://id.biodiversity.org.au/node/apni/3863084,accepted,doubtful misapplied,https://id.biodiversity.org.au/node/apni/3863084,Abutilon oxycarpum,(F.Muell.) F.Muell. ex Benth.,Species,accepted,Malvaceae,Magnoliidae,"WA, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51229173
Abutilon oxycarpum var. incanum,APC,https://id.biodiversity.org.au/node/apni/3863091,accepted,NA,https://id.biodiversity.org.au/node/apni/3863091,Abutilon oxycarpum var. incanum,(Benth.) J.M.Black,Varietas,accepted,Malvaceae,Magnoliidae,"SA, Qld",https://id.biodiversity.org.au/tree/51354547/51229177
Abutilon oxycarpum var. subsagittatum,APC,https://id.biodiversity.org.au/node/apni/2900743,accepted,NA,https://id.biodiversity.org.au/node/apni/2900743,Abutilon oxycarpum var. subsagittatum,Domin,Varietas,accepted,Malvaceae,Magnoliidae,"Qld, Vic",https://id.biodiversity.org.au/tree/51354547/51229174
Acacia,APC,https://id.biodiversity.org.au/taxon/apni/51311124,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51311124,Acacia,Mill.,Genus,accepted,Fabaceae,Magnoliidae,"WA (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), NI (naturalised), ACT (native and naturalised), Vic (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51342774
